,artist,artist_uri,song,song_uri,duration_ms,explicit,album,popularity
0,Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,I Can Show You,spotify:track:0AhJag7VI8uFf3mJFsTwvf,120076,True,Eternal Atake (Deluxe) - LUV vs. The World 2,66
1,Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,Myron,spotify:track:56uXDJRCuoS7abX3SkzHKQ,224954,True,Eternal Atake (Deluxe) - LUV vs. The World 2,84
2,JACKBOYS,spotify:artist:7A8S43ryYdbWpJKeHRZRcq,GATTI,spotify:track:40mjsnRjCpycdUw3xhS20g,181144,True,JACKBOYS,79
3,Kid Cudi,spotify:artist:0fA0VVWsXO9YnASrzqfmYu,Leader Of The Delinquents,spotify:track:3hR48Bj9Wgl6xunDG4nsRZ,189544,True,Leader Of The Delinquents,67
4,Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,Strawberry Peels (feat. Young Thug & Gunna),spotify:track:4lAQfuREAHG8IC0PiiigBt,115350,True,Eternal Atake (Deluxe) - LUV vs. The World 2,68
5,Binaural Creations,spotify:artist:3cIVy45XKxPSDs10U7k1WV,Insomnia Treatment Deep Thunder,spotify:track:110w73fvP7BBkELWhT00MV,190057,False,Binaural Thunder & Weather,31
6,JAY-Z,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB,Murder To Excellence,spotify:track:1smcSwXObpmxcjCulmjMgy,300960,True,Watch The Throne (Deluxe),57
7,Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,Lo Mein,spotify:track:6gWzuZHMKNtjLUsTPHCX10,195299,True,Eternal Atake (Deluxe) - LUV vs. The World 2,65
8,Cookin Soul,spotify:artist:06s35sbFfZJUEwFjAaZfiW,OMG,spotify:track:6NtoGjIBp9gtGpDB38osgc,101707,False,4 Dilla Vol. 1-4,24
9,JAY-Z,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB,Otis,spotify:track:6vegnfDS8DAEaCqWaPYGPy,178213,True,Watch The Throne (Deluxe),66
10,Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,You Better Move,spotify:track:0jBTxdEGB0YvKvZhf3AEIU,196638,True,Eternal Atake (Deluxe) - LUV vs. The World 2,61
11,Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,Money Spread (feat. Young Nudy),spotify:track:5tBdxqz8gauIO8Hh8qwo0H,217008,True,Eternal Atake (Deluxe) - LUV vs. The World 2,65
12,Roddy Ricch,spotify:artist:757aE44tKEUQEqRuT6GnEB,The Box,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,196652,True,Please Excuse Me For Being Antisocial,93
13,Freddie Gibbs,spotify:artist:0Y4inQK6OespitzD6ijMwb,1985,spotify:track:1p1b9LdLJ0REuFJX9mYtFX,152546,True,Alfredo,64
14,Denzel Curry,spotify:artist:6fxyWrfmjcbj5d12gXeiNV,Take_it_Back_v2,spotify:track:6M1QxOSjcCBCNnS7GSjd1o,169466,True,UNLOCKED,61
15,MED,spotify:artist:5xV1MuWhltmJTYGFxWkUHu,THERAPY,spotify:track:1BXRj9TBkcxhBWm0kJZ9v3,159168,True,THERAPY,31
16,EARTHGANG,spotify:artist:5MbNzCW3qokGyoo9giHA3V,LaLa Challenge,spotify:track:27sK7RJ0Py17Vz43OBDxYD,231186,True,Mirrorland,45
17,Cookin Soul,spotify:artist:06s35sbFfZJUEwFjAaZfiW,Kobe,spotify:track:2HfG5fTpLn87WmBYQmMUml,117073,False,4 Dilla Vol. 1-4,27
18,Cookin Soul,spotify:artist:06s35sbFfZJUEwFjAaZfiW,Hello Girl,spotify:track:6NV7ai8z9hu4PAGWP6xfmw,149333,False,4 Dilla Vol. 1-4,29
19,KAYTRANADA,spotify:artist:6qgnBH6iDM91ipVXv28OMu,DO IT,spotify:track:73IdeGI8Gt1XxcaQ6vBsyD,132360,False,BUBBA,53
20,Cookin Soul,spotify:artist:06s35sbFfZJUEwFjAaZfiW,Sure,spotify:track:7In1dVQMQ9T7NFVD0czfGY,122790,False,4 Dilla Vol. 1-4,29
21,YBN Cordae,spotify:artist:0huGjMyP507tBCARyzSkrv,Lost & Found,spotify:track:2bQxqezLVNiJVeLO0RWPON,160743,True,The Lost Boy,58
22,Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,Moon Relate,spotify:track:4sWGHlZGM1XA7TyWdtBAbA,181825,True,Eternal Atake (Deluxe) - LUV vs. The World 2,67
23,Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,Futsal Shuffle 2020 - Bonus Track,spotify:track:2Zykq8p6eYzEDanzCwI3Yd,198912,True,Eternal Atake (Deluxe) - LUV vs. The World 2,60
24,JAY-Z,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB,Why I Love You,spotify:track:4lLmG1fatRUgnRz0Ol0WUi,201373,True,Watch The Throne (Deluxe),56
25,Meek Mill,spotify:artist:20sxb77xiYeusSH8cVdatc,Lord Knows (feat. Tory Lanez),spotify:track:57hCSu4zMTdnSum7NBL1Ye,318840,True,Dreams Worth More Than Money,61
26,JAY-Z,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB,Gotta Have It,spotify:track:5Pt83OUaK3K9C2if4C5JOk,140746,True,Watch The Throne (Deluxe),62
27,Cookin Soul,spotify:artist:06s35sbFfZJUEwFjAaZfiW,Sweet Luv,spotify:track:70IshybNQ8EyKa34kndjgo,154364,False,4 Dilla Vol. 1-4,35
28,Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,Homecoming,spotify:track:5jUvv1aTcNTgTOsAGlJojn,213884,True,Eternal Atake (Deluxe) - LUV vs. The World 2,62
29,Jimi Hendrix,spotify:artist:776Uo845nYHJpNaStv1Ds4,Little Wing,spotify:track:1Eolhana7nKHYpcYpdVcT5,145746,False,Axis: Bold As Love,70
30,Aminé,spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ,Shimmy,spotify:track:7iG6aXHLFg9tBzP6OIyuJa,133995,True,Shimmy,66
31,Pop Smoke,spotify:artist:0eDvMgVFoNV3TpwtrVCoTj,Dior,spotify:track:79s5XnCN4TJKTVMSmOx8Ep,216386,True,Meet The Woo,85
32,Thundercat,spotify:artist:4frXpPxQQZwbCu3eTGnZEw,Them Changes,spotify:track:7CH99b2i1TXS5P8UUyWtnM,188453,False,Drunk,71
33,Cookin Soul,spotify:artist:06s35sbFfZJUEwFjAaZfiW,Heartbroken,spotify:track:1u8Fi9Nnb7PQVZlOmSvKgY,149677,False,4 Dilla Vol. 1-4,27
34,Q Da Fool,spotify:artist:17kq4sCvn1nVcVvWV9Ribi,Win (feat. Kenny Beats),spotify:track:3RMVEnANWM9KAWrYshJgNO,129573,True,Win (feat. Kenny Beats),49
35,Cookin Soul,spotify:artist:06s35sbFfZJUEwFjAaZfiW,Fireeeee,spotify:track:5IpgBYhCJZtchGKwfYYo9f,123870,False,4 Dilla Vol. 1-4,27
36,A$AP Ferg,spotify:artist:5dHt1vcEm9qb8fCyLcB3HL,Value,spotify:track:7im3jaJBEYivH5JKXMh1Yy,167157,True,Value,62
37,Meek Mill,spotify:artist:20sxb77xiYeusSH8cVdatc,Heavy Heart,spotify:track:1CGP5ioAXECjvTJdMTvX0O,250466,True,Wins & Losses,41
38,Cookin Soul,spotify:artist:06s35sbFfZJUEwFjAaZfiW,Belong,spotify:track:4v91QNfyj3uaYy5XyAT35a,101657,False,4 Dilla Vol. 1-4,27
39,Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,Yessirskiii,spotify:track:59JWp4PjZ9TRM8cmtaDYB1,219340,True,Eternal Atake (Deluxe) - LUV vs. The World 2,76
40,Cookin Soul,spotify:artist:06s35sbFfZJUEwFjAaZfiW,Mamba Out,spotify:track:6DUGTx8UYYukrZmkDHh14F,126000,False,4 Dilla Vol. 1-4,42
41,Denzel Curry,spotify:artist:6fxyWrfmjcbj5d12gXeiNV,DIET_,spotify:track:1AzqpMy3yLYNITSOUrnL8i,143733,True,UNLOCKED,63
42,JID,spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7,Workin’ Out - A Colors Show,spotify:track:70QT8Tr8gnAEkeLW3WwN3C,181417,True,Workin’ Out - A Colors Show,58
43,JAY-Z,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB,Who Gon Stop Me,spotify:track:3R1k8P1MrDdLSRhlTaaWAS,256706,True,Watch The Throne (Deluxe),58
44,KIDS SEE GHOSTS,spotify:artist:2hPgGN4uhvXAxiXQBIXOmE,Feel The Love,spotify:track:3aUFrxO1B8EW63QchEl3wX,165053,True,KIDS SEE GHOSTS,66
45,Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,Baby Pluto,spotify:track:0MBbqhCETOfzONwgSAtKpI,210261,True,Eternal Atake (Deluxe) - LUV vs. The World 2,64
46,Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,Prices,spotify:track:1Gz96Ab9xAEcaUTwaFx0ON,233333,True,Eternal Atake (Deluxe) - LUV vs. The World 2,64
47,The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,Blinding Lights,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,200040,False,After Hours,99
48,Cookin Soul,spotify:artist:06s35sbFfZJUEwFjAaZfiW,Couldu,spotify:track:38FqCNGE8VxtJLkzZugbZT,118441,False,4 Dilla Vol. 1-4,27
49,Meek Mill,spotify:artist:20sxb77xiYeusSH8cVdatc,Shine,spotify:track:3g7XdOnYbeoinTCcLsElSa,327491,True,DC4,44
